Zip,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Median Income Per Person
10452,0,34,601,22,404,204,8,3,353,380,107,235,0,15,24,76,132,25,88,95,658,40,1899,4877,73,132,2,109,113,14,71,115,275,174,26,95,299,36536.0
11222,2,112,1534,36,1067,172,75,53,428,448,263,402,1,19,59,407,76,236,39,63,479,44,1076,1115,269,775,4,118,301,478,44,178,306,171,171,56,132,126250.0
12094,21,2,327,17,329,78,2,12,5,109,93,18,39,20,60,44,25,6,6,9,67,13,243,174,11,160,25,1,27,0,33,7,38,40,70,3,8,109674.0
11415,0,30,284,14,189,59,13,6,196,200,26,199,1,8,14,130,35,43,23,36,505,21,922,1006,90,280,0,59,157,4,28,185,265,118,25,58,124,88306.0
13676,147,9,1104,114,1502,318,4,85,34,436,439,46,174,28,134,103,107,167,24,44,213,136,574,1270,33,814,204,20,70,224,48,34,182,136,281,8,24,54113.0
12809,49,4,496,28,580,186,4,34,19,176,151,22,39,45,65,59,34,11,7,19,141,50,320,326,6,191,47,7,41,5,22,7,98,81,152,3,4,63750.0
13753,28,13,442,38,623,129,7,33,28,168,190,23,23,18,36,58,43,27,6,20,201,22,322,364,21,379,61,7,36,45,14,19,103,74,134,6,7,66201.0
10044,0,7,77,7,37,29,11,1,78,60,10,92,0,1,3,49,15,47,8,7,84,4,180,167,45,73,0,33,44,2,11,51,68,32,3,11,35,120759.0
12052,12,2,236,12,223,46,0,7,8,71,67,15,11,10,32,26,13,10,6,6,64,21,170,135,4,138,22,3,12,3,12,7,23,33,42,2,4,113977.0
11422,3,109,623,51,532,210,34,7,806,505,137,696,5,13,21,178,87,61,63,131,1549,20,2049,2048,208,217,2,67,206,24,70,578,529,187,56,363,432,101416.0
11419,5,107,1105,35,603,325,26,15,540,531,170,494,2,22,34,146,95,30,70,176,2031,29,2309,2877,204,198,1,199,197,61,108,561,411,189,101,336,363,90818.0
