placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
zip/13163,13163,2022,332,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,73750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,27500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13164,13164,2022,2720,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,83571,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,42734,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13165,13165,2022,9511,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,64668,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,32853,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13167,13167,2022,2982,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,71176,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,39342,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13202,13202,2022,7331,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,26271,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,23919,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13203,13203,2022,16884,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,42451,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,28738,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13204,13204,2022,19550,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,40330,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,25433,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13205,13205,2022,18069,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37510,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,24207,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13206,13206,2022,16713,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,55806,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,32249,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13207,13207,2022,12784,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,56730,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,33563,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13208,13208,2022,23094,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,41751,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,28624,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13209,13209,2022,13171,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,62134,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36966,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13210,13210,2022,19144,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38472,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,19604,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13211,13211,2022,5968,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,69419,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37487,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13212,13212,2022,20638,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,70748,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38796,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13214,13214,2022,8899,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,87095,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35967,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13215,13215,2022,14317,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,101754,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,48992,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13219,13219,2022,15557,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,82083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,44486,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13224,13224,2022,8881,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,78030,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,44583,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13244,13244,2022,8384,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,2022,4729,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13290,13290,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,,,,
zip/13301,13301,2022,156,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,111250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,80536,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13302,13302,2022,1377,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,52056,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,32096,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13303,13303,2022,1295,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,82500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36098,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13305,13305,2022,201,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,73304,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,29083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/13308,13308,2022,4429,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,82174,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
